,2시18분 결정적인 사진 나오니 sbs 정반석기자는 술 9병 사서 자극적 사진 보도 ☆ A변호사 언론플레이 시작 ☆블랙아웃 만취 주장하는데 파워워킹하며 멀쩡히 돌아다니는 A 영상 뜨니 갑자기 4시28분 목격자 등장. 시간도 바뀌고 음주 여부도 바뀌는 목격자 내세우더니 7명 낚시꾼이ㅡ한강 걸어들어가는걸 봤다고?? 그럼 그 낚시꾼들은 7명이나 사람 죽는걸 구경했다는건가요? 외국에 있었대요? 왜 이제 나오나요?? 주변엔 낚시할 장소가 없는데?,2시18분 결정적인 사진 나오니 sbs 정반석기자는 술 9병 사서 자극적 사진 보도 ☆ A변호사 언론플레이 시작 ☆블랙아웃 만취 주장하는데 파워워킹하며 멀쩡히 돌아다니는 A 영상 뜨니 갑자기 4시28분 목격자 등장. 시간도 바뀌고 음주 여부도 바뀌는 목격자 내세우더니 7명 낚시꾼이ㅡ한강 걸어들어가는걸 봤다고?? 그럼 그 낚시꾼들은 7명이나 사람 죽는걸 구경했다는건가요? 외국에 있었대요? 왜 이제 나오나요?? 주변엔 낚시할 장소가 없는데?2021-05-18T17:35:43.8604633002021-05-18T17:35:43.860463300
,7명이 다 신고를 안함?? 말이됨???,7명이 다 신고를 안함?? 말이됨???2021-05-18T17:35:43.8834632002021-05-18T17:35:43.883463200
,와....낚시꾼을 우습게아네...나도 낚시좀하는사람인데 기본적으로 낚시하는사람들은 물에 대해 상당한 경각심이 있는데다가 누군가 물에있으면 거의 자동적으로 왜 거기있냐고 소리지르거나 신고하거나함..낚시하다보면 언제 나도 물에 잠길지모르는 상황이 생길지모르기때문에 다른사람이 물에있는거 엄청 신경써서봄...근데 들어가는데 걍 목격만했다??? 말이 되는 이야기를 해라...,와....낚시꾼을 우습게아네...나도 낚시좀하는사람인데 기본적으로 낚시하는사람들은 물에 대해 상당한 경각심이 있는데다가 누군가 물에있으면 거의 자동적으로 왜 거기있냐고 소리지르거나 신고하거나함..낚시하다보면 언제 나도 물에 잠길지모르는 상황이 생길지모르기때문에 다른사람이 물에있는거 엄청 신경써서봄...근데 들어가는데 걍 목격만했다??? 말이 되는 이야기를 해라...2021-05-18T17:35:43.9048221002021-05-18T17:35:43.904822100
,낚시하다가 봤으면 신고하던지 못들어가게 말리는게 정상아닌가...,낚시하다가 봤으면 신고하던지 못들어가게 말리는게 정상아닌가...2021-05-18T17:35:43.9248192021-05-18T17:35:43.924819
,7명 만들었나보네 ㅋㅋ 이제와서 ?? 나도 낚시다니는데 그런거 보이면 바로 신고할거같은데 7명 모두 구경만?? 누가 믿냐 ㅋㅋㅋㅋㅋ,7명 만들었나보네 ㅋㅋ 이제와서 ?? 나도 낚시다니는데 그런거 보이면 바로 신고할거같은데 7명 모두 구경만?? 누가 믿냐 ㅋㅋㅋㅋㅋ2021-05-18T17:35:43.9458189002021-05-18T17:35:43.945818900
,미쳤나 ㅋㅋㅋㅋㅋㅋㅋㅋ CCTV에서 업고 가는거 끌고 가는거 중고딩 영상등 이상한게 차고 넘치는데 이제와서 그냥 입수 목격자? 더군다나 확실한 객관적 자료도 없이 목격담 만으로? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이거 진짜 가면 갈수록 이상하네.. 정말 고위 정관계자들이 엮인거냐? 이 사건만큼은 절대로 그냥 묻히게 하면 안될거 같다. 뭔가 뒤에 큰게 있어보인다.,작성자에 의해 삭제된 댓글입니다.2021-05-18T17:35:43.9678192021-05-18T17:35:43.967819
,아~ 그럼 목격자 7명이 모두 "강에 사람이 걸어들어가네 ㅋㅋㅋㅋ" 이러고 말았다는거지?? 아~ 그럼 목격자 7명이 모두" 강에 사람이 걸어들어가서 안나오네ㅋㅋㅋㅋㅋ 이러고 말았다는거지????? 분명하지???,미쳤나 ㅋㅋㅋㅋㅋㅋㅋㅋ CCTV에서 업고 가는거 끌고 가는거 중고딩 영상등 이상한게 차고 넘치는데 이제와서 그냥 입수 목격자? 더군다나 확실한 객관적 자료도 없이 목격담 만으로? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이거 진짜 가면 갈수록 이상하네.. 정말 고위 정관계자들이 엮인거냐? 이 사건만큼은 절대로 그냥 묻히게 하면 안될거 같다. 뭔가 뒤에 큰게 있어보인다.2021-05-18T17:35:43.9908188002021-05-18T17:35:43.990818800
,'불상의 남성이 한강으로 걸어 들어가는 것을 보았다' ? 보통 한강에 사람이 들어가면신고하거나 나오라며 끌어내거나, 극단적 선택일지라도 말려야하는대 7명이나 있는대안말리고 신고도안하고 구하지도않았다고? 갑자기?,아~ 그럼 목격자 7명이 모두 "강에 사람이 걸어들어가네 ㅋㅋㅋㅋ" 이러고 말았다는거지?? 아~ 그럼 목격자 7명이 모두" 강에 사람이 걸어들어가서 안나오네ㅋㅋㅋㅋㅋ 이러고 말았다는거지????? 분명하지???2021-05-18T17:35:44.0118189002021-05-18T17:35:44.011818900
,유튜브에 이미 cctv 떴는데 무슨... 나도 중립 입장이었지만 그 영상보고 입을 다물지 못했다. 누가봐도 분명 두어명이서 한명을 옮겨가는 모습이었으니까,'불상의 남성이 한강으로 걸어 들어가는 것을 보았다' ? 보통 한강에 사람이 들어가면신고하거나 나오라며 끌어내거나, 극단적 선택일지라도 말려야하는대 7명이나 있는대안말리고 신고도안하고 구하지도않았다고? 갑자기?2021-05-18T17:35:44.0318183002021-05-18T17:35:44.031818300
,2시18분 결정적인 사진 나오니 sbs 정반석기자는 술 9병 사서 자극적 사진 보도 ☆ A변호사 언론플레이 시작 ☆블랙아웃 만취 주장하는데 파워워킹하며 멀쩡히 돌아다니는 A 영상 뜨니 갑자기 4시28분 목격자 등장. 시간도 바뀌고 음주 여부도 바뀌는 목격자 내세우더니 7명 낚시꾼이ㅡ한강 걸어들어가는걸 봤다고?? 그럼 그 낚시꾼들은 7명이나 사람 죽는걸 구경했다는건가요? 외국에 있었대요? 왜 이제 나오나요?? 주변엔 낚시할 장소가 없는데?,2시18분 결정적인 사진 나오니 sbs 정반석기자는 술 9병 사서 자극적 사진 보도 ☆ A변호사 언론플레이 시작 ☆블랙아웃 만취 주장하는데 파워워킹하며 멀쩡히 돌아다니는 A 영상 뜨니 갑자기 4시28분 목격자 등장. 시간도 바뀌고 음주 여부도 바뀌는 목격자 내세우더니 7명 낚시꾼이ㅡ한강 걸어들어가는걸 봤다고?? 그럼 그 낚시꾼들은 7명이나 사람 죽는걸 구경했다는건가요? 외국에 있었대요? 왜 이제 나오나요?? 주변엔 낚시할 장소가 없는데?nullnull
